studyid;compid;esid;studycompid;name;outcome;comparison;g;var.g;se.g;n.1;n.2;n.total;type.of.treatment;length.of.treatment;publication.status;publication.status.new;publication.year;research.group;control.group.quality;gender.ratio;type.of.outcome;subjectivity.of.outcome.measurement;lab.based.versus.real.world.behavior;stamina.versus.strength;pre.test.measurement;sample.population;sample.age;attrition;participant.compensation;self.control.potential;r1.2;r1.3;r1.4;r1.5;r1.6;r1.7;r1.8;r1.9;r1.10;r1.11;r1.12;r1.13;r2.3;r2.4;r2.5;r2.6;r2.7;r2.8;r2.9;r2.10;r2.11;r2.12;r2.13;r3.4;r3.5;r3.6;r3.7;r3.8;r3.9;r3.10;r3.11;r3.12;r3.13;r4.5;r4.6;r4.7;r4.8;r4.9;r4.10;r4.11;r4.12;r4.13;r5.6;r5.7;r5.8;r5.9;r5.10;r5.11;r5.12;r5.13;r6.7;r6.8;r6.9;r6.10;r6.11;r6.12;r6.13;r7.8;r7.9;r7.10;r7.11;r7.12;r7.13;r8.9;r8.10;r8.11;r8.12;r8.13;r9.10;r9.11;r9.12;r9.13;r10.11;r10.12;r10.13;r11.12;r11.13;r12.13
4;1;11;4_1;Bertrams & Schmeichel, 2014;#1 T1vsT2 change in anagram performance;treat1_vs_control;1,0298;0,0898888;0,299815;25;24;49;Handgrip;7;Yes;Yes;2014;Strength model;Active;22,45;NA;Low subjectivity;Lab;Stamina;Pre-post;Students;22,49;2;Money;Maximum;0,552813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;12;4_1;Bertrams & Schmeichel, 2014;#2 T1vsT2 pre-depletion anagram performance;treat1_vs_control;-0,518125;0,08180668;0,286019;25;24;49;Handgrip;7;Yes;Yes;2014;Strength model;Active;22,45;Physical Persistence;Low subjectivity;Lab;Strength;Pre-post;Students;22,49;2;Money;Maximum;0,552813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;13;5_1;Bray et al., 2014;#1 stroop rt;treat1_vs_control;-0,111886;0,09402948;0,306642;20;21;41;Inhibition;14;Yes;Yes;2014;Other;Inactive;36,59;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;18,66;0;Credit;Maximum;0,288602498;0,251959192;0,295096654;;;;;;;;;;0,156056942;0,121687305;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;14;5_1;Bray et al., 2014;#2 stroop errors;treat1_vs_control;-0,59856;0,09824601;0,313442;20;21;41;Inhibition;14;Yes;Yes;2014;Other;Inactive;36,59;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;18,66;0;Credit;Maximum;0,288602498;0,251959192;0,295096654;;;;;;;;;;0,156056942;0,121687305;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;15;5_1;Bray et al., 2014;#3 seconds cycled;treat1_vs_control;0,249389;0,09463529;0,307628;20;21;41;Inhibition;14;Yes;Yes;2014;Other;Inactive;36,59;Physical Persistence;Low subjectivity;Lab;Stamina;Pre-post;Students;18,66;0;Credit;Maximum;0,288602498;0,251959192;0,295096654;;;;;;;;;;0,156056942;0,121687305;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;16;5_1;Bray et al., 2014;#4 cumulative work (kj);treat1_vs_control;0,219145;0,09446248;0,307347;20;21;41;Inhibition;14;Yes;Yes;2014;Other;Inactive;36,59;Physical Persistence;Low subjectivity;Lab;Stamina;Pre-post;Students;18,66;0;Credit;Maximum;0,288602498;0,251959192;0,295096654;;;;;;;;;;0,156056942;0,121687305;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;17;6_1;Cranwell et al., 2014, Study 1;#1 handgrip change;treat1_vs_control;0,635912;0,137432269;0,370719;14;15;29;Inhibition;28;Yes;Yes;2014;Other;Inactive;17,2;Physical Persistence after Depletion;Low subjectivity;Lab;Stamina;Post only;Other;NA;0;Money;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;18;7_1;Cranwell et al., 2014, Study 2;#1 handgrip change;treat1_vs_control;1,18147;0,136627046;0,369631;16;17;33;Inhibition;28;Yes;Yes;2014;Other;Inactive;51,52;Physical Persistence after Depletion;Low subjectivity;Lab;Stamina;Post only;Other;NA;0;Money;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;19;8_1;Davisson, unpublished, 2013;#1 stroop total errors;inhib_vs_control;-0,6251;0,0566;0,237908;37;37;74;Diet;14;No;Pending;2013;Other;Active;27,03;Inhibitory Control;Low subjectivity;Lab;Strength;Post only;Students;20,22;2,6;Money;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2;20;8_2;Davisson, unpublished, 2013;#1 stroop total errors;init_vs_control;-0,7147;0,0564;0,237487;37;37;74;Diet;14;No;Pending;2013;Other;Active;27,03;Inhibitory Control;Low subjectivity;Lab;Strength;Post only;Students;20,22;2,6;Money;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;21;9_1;Denson et al., 2011;#1 aggressive behavior;treat1_vs_control;0,508466;0,0578;0,240416;36;34;70;NDH;14;Yes;Yes;2011;Other;Inactive;22,86;Affect and Wellbeing;Low subjectivity;Lab;Strength;Post only;Students;20,3;16,6;Mixed;Realized;0,8871035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;22;9_1;Denson et al., 2011;#2 self-report aggression;treat1_vs_control;0,659658;0,059;0,242899;36;34;70;NDH;14;Yes;Yes;2011;Other;Inactive;22,86;Affect and Wellbeing;High subjectivity;Lab;Strength;Post only;Students;20,3;16,6;Mixed;Realized;0,8871035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;23;10_1;Denson et al., 2016, Study 1;#1 time to obey to violence;treat1_vs_control;0,285841;0,06673904;0,258339;30;29;59;NDH;14;Yes;Yes;2016;Strength model;Active;35,6;NA;High subjectivity;Lab;Strength;Post only;Students;20,5;1,7;Credit;Realized;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;24;11_1;Denson et al., 2016, Study 2;#1 obedient violence;nondominanthand_vs_control;0,401099;0,02384442;0,154416;89;81;170;NDH;14;Yes;Yes;2016;Strength model;Active;43,46;NA;High subjectivity;Lab;Strength;Post only;Other;22,15;19,7;Mixed;Realized;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;25;12_1;Enge et al., 2014;#1 Stroop pre-post;SST_vs_control12;-0,1412848;0,0487551;0,2208056;43;37;80;Inhibition;21;Yes;Yes;2014;Other;Active;13,9;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;21,3;1,6;Credit;Maximum;0,196125342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;25;12_1;Enge et al., 2014;#1 Stroop pre-post;SST_vs_control12;0,2393546;0,04833081;0,2198427;43;37;80;Inhibition;21;Yes;Yes;2014;Other;Inactive;13,9;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;21,3;1,6;Credit;Maximum;0,196125342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;26;13_1;Finkel et al., 2009, Study 5;#1 inclination to partner violence;nondominanthand_vs_control;0,843922;0,1660546;0,407498;14;11;25;NDH;14;Yes;Yes;2009;Strength model;Inactive;27,5;Affect and Wellbeing;High subjectivity;Real-World;Stamina;Pre-post;Students;19;0;Credit;Realized;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2;27;13_2;Finkel et al., 2009, Study 5;#1 inclination to partner violence;verbalregulation_vs_control;0,956066;0,1653588;0,406643;15;11;26;NA;14;Yes;Yes;2009;Strength model;Inactive;27,5;Affect and Wellbeing;High subjectivity;Real-World;Stamina;Pre-post;Students;19;0;Credit;Realized;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;28;14_1;Gailliot et al., 2007, Study 1;#1 anagram performance after depletion;languageregulation_vs_crtl;1,064169;0,1449804;0,380762918;10;28;38;NA;14;Yes;Yes;2007;Strength model;Active;63,2;NA;Low subjectivity;Lab;Stamina;Pre-post;Students;NA;4,55;Credit;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;29;15_1;Gailliot et al., 2007, Study 4;#1 Stroop performance after depletion;nondominanthand_vs_control;0,851547;0,15;0,387298335;8;44;52;NDH;14;Yes;Yes;2007;Strength model;Inactive;20,75;Inhibitory Control after Depletion;Low subjectivity;Lab;Stamina;Post only;Students;NA;0;Mixed;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;30;16_1;Hui et al., 2009;#1 cold tolerance;strong_vs_control;0,743484;0,103378979;0,321526;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Physical Persistence;Low subjectivity;Lab;Strength;Post only;Students;NA;9,3333;Mixed;Maximum;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;31;16_1;Hui et al., 2009;#2 d2;strong_vs_control;0,600383;0,101033744;0,317858;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;NA;Low subjectivity;Lab;Strength;Post only;Students;NA;9,3333;Mixed;Maximum;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;32;16_1;Hui et al., 2009;#3 diet;strong_vs_control;0,475038;0,1;0,316228;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Eating;High subjectivity;Real-World;Strength;Post only;Students;NA;9,3333;Mixed;Realized;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;33;16_1;Hui et al., 2009;#4 exercise;strong_vs_control;0;0,1004902;0,317002;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Health Behavior;High subjectivity;Real-World;Strength;Post only;Students;NA;9,3333;Mixed;Realized;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;34;16_1;Hui et al., 2009;#5 remaining floss;strong_vs_control;0,609171;0,101163381;0,318062;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Health Behavior;Low subjectivity;Real-World;Strength;Post only;Students;NA;9,3333;Mixed;Realized;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;35;16_1;Hui et al., 2009;#6 remaining toothpaste;strong_vs_control;-0,606787;0,101128024;0,318006;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Health Behavior;Low subjectivity;Real-World;Strength;Post only;Students;NA;9,3333;Mixed;Realized;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;36;16_1;Hui et al., 2009;#7 reported brushing;strong_vs_control;-0,811206;0,104662956;0,323517;17;24;41;Inhibition;14;Yes;Yes;2009;Other;Inactive;0;Health Behavior;High subjectivity;Real-World;Strength;Post only;Students;NA;9,3333;Mixed;Realized;0,250618;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;0,250618;;;;;;;0,250618;0,250618;;;;;;;0,250618;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;37;17_1;Job et al., 2015;#1 absolute gpa;trainexp_vs_control;0,683116;0,0542;0,232809;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;Low subjectivity;Real-World;Strength;Post only;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;38;17_1;Job et al., 2015;#2 effort avoidance;trainexp_vs_control;0,425608;0,05029507;0,224266;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;39;17_1;Job et al., 2015;#3 hours studying;trainexp_vs_control;0,795966;0,05385774;0,232073;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;40;17_1;Job et al., 2015;#4 procrastination;trainexp_vs_control;0,058;0,0498715;0,223319;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;41;17_1;Job et al., 2015;#5 relative gpa;trainexp_vs_control;0,778634;0,0551;0,234734;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;Low subjectivity;Real-World;Strength;Post only;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;42;17_1;Job et al., 2015;#6 stop signal;trainexp_vs_control;0,307434;0,05091054;0,225634;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;21,63;0;Money;Maximum;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;43;17_1;Job et al., 2015;#7 stroop after depletion;trainexp_vs_control;0,333211;0,0516404;0,227245;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Inhibitory Control after Depletion;Low subjectivity;Lab;Stamina;Pre-post;Students;21,63;0;Money;Maximum;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;44;17_2;Job et al., 2015;#1 absolute gpa;trainonly_vs_control;0,640925;0,05369722;0,231727;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;Low subjectivity;Real-World;Strength;Post only;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;45;17_2;Job et al., 2015;#2 effort avoidance;trainonly_vs_control;0,429825;0,05669129;0,238099;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;46;17_2;Job et al., 2015;#3 hours studying;trainonly_vs_control;0,69715;0,05621382;0,237095;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;47;17_2;Job et al., 2015;#4 procrastination;trainonly_vs_control;0,207485;0,05254676;0,229231;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;48;17_2;Job et al., 2015;#5 relative gpa;trainonly_vs_control;0,691181;0,0508;0,225389;39;38;77;Handgrip;14;Yes;Yes;2015;Other;Inactive;26,1;Academic Behavior;Low subjectivity;Real-World;Strength;Post only;Students;21,63;0;Money;Realized;0,103253909;0,224236159;0,012935489;1;0,192579559;0,035703572;;;;;;;0,53939671;0,482299923;0,103253909;0,099267265;0,386479826;;;;;;;0,709535186;0,523217703;0,574875673;1;;;;;;;0,077612933;0,099488386;0,258227149;;;;;;;0,137556828;0,107110716;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
